x,y,theta
-0.000226,0.007643,0.124548
-0.000226,0.007643,0.124548
-0.000227,0.007638,0.124506
0.000054,0.007607,0.102237
0.000582,0.007180,0.020530
-0.001584,0.006308,-0.092169
-0.006282,0.005702,-0.207388
-0.011453,0.005230,-0.347778
-0.018440,0.006077,-0.502734
-0.018440,0.006077,-0.502734
-0.035283,0.012212,-0.829742
-0.044993,0.018108,-0.989440
-0.054644,0.025869,-1.143131
-0.063981,0.035939,-1.295944
-0.072106,0.047554,-1.426544
-0.079480,0.061449,-1.547707
-0.084768,0.076129,-1.641520
-0.084768,0.076129,-1.641520
-0.088904,0.108613,-1.759407
-0.088904,0.108613,-1.759407
-0.082945,0.148868,-1.661266
-0.081595,0.157411,-1.613760
-0.081595,0.157411,-1.613760
-0.078833,0.191871,-1.384260
-0.080333,0.209317,-1.278153
-0.084054,0.227457,-1.193964
-0.089552,0.245554,-1.135279
-0.096840,0.264087,-1.098989
-0.105944,0.282822,-1.094149
-0.116386,0.302135,-1.104951
-0.127233,0.322717,-1.122172
-0.137472,0.343427,-1.136901
-0.147565,0.364331,-1.153523
-0.157918,0.385877,-1.162566
-0.168135,0.407607,-1.173117
-0.177850,0.429699,-1.180597
-0.187244,0.451996,-1.187800
-0.196544,0.474460,-1.195207
-0.205899,0.497020,-1.196162
-0.215597,0.520349,-1.199015
-0.225161,0.543570,-1.201558
-0.234731,0.566932,-1.207919
-0.244056,0.591071,-1.205187
-0.244056,0.591071,-1.205187
-0.261732,0.635843,-1.219978
-0.261732,0.635843,-1.219978
-0.279845,0.681961,-1.233645
-0.279845,0.681961,-1.233645
-0.297399,0.729795,-1.222834
-0.297399,0.729795,-1.222834
-0.313988,0.774172,-1.172078
-0.313988,0.774172,-1.172078
-0.332503,0.817048,-1.056624
-0.332503,0.817048,-1.056624
-0.353130,0.854328,-0.893803
-0.353130,0.854328,-0.893803
-0.378929,0.886659,-0.739792
-0.378929,0.886659,-0.739792
-0.409535,0.914184,-0.632174
-0.409535,0.914184,-0.632174
-0.452809,0.944881,-0.614766
-0.452809,0.944881,-0.614766
-0.483214,0.965100,-0.684170
-0.483214,0.965100,-0.684170
-0.521830,0.995807,-0.827820
-0.521830,0.995807,-0.827820
-0.545522,1.018848,-0.950268
-0.559277,1.035622,-1.021660
-0.559277,1.035622,-1.021660
-0.582654,1.071987,-1.101731
-0.592848,1.090955,-1.111967
-0.603558,1.111965,-1.108993
-0.614617,1.133801,-1.099391
-0.626269,1.155761,-1.084939
-0.626269,1.155761,-1.084939
-0.650520,1.199500,-1.064978
-0.663412,1.221932,-1.065245
-0.676821,1.245255,-1.069014
-0.676821,1.245255,-1.069014
-0.703502,1.291797,-1.083448
-0.703502,1.291797,-1.083448
-0.728384,1.336154,-1.109313
-0.739841,1.357790,-1.122809
-0.739841,1.357790,-1.122809
-0.762374,1.402223,-1.142498
-0.773193,1.425021,-1.149630
-0.783827,1.447935,-1.151285
-0.794813,1.471224,-1.151768
-0.794813,1.471224,-1.151768
-0.816703,1.517401,-1.155683
-0.816703,1.517401,-1.155683
-0.842716,1.573206,-1.165474
-0.842716,1.573206,-1.165474
-0.863112,1.619275,-1.176314
-0.863112,1.619275,-1.176314
-0.878430,1.654401,-1.184561
-0.878430,1.654401,-1.184561
-0.898895,1.702058,-1.201641
-0.898895,1.702058,-1.201641
-0.918071,1.748373,-1.220837
-0.927207,1.771818,-1.230897
-0.936298,1.795597,-1.236783
-0.945122,1.819339,-1.245317
-0.953999,1.842865,-1.257594
-0.962213,1.866526,-1.263088
-0.970665,1.890814,-1.275161
-0.978296,1.914268,-1.277618
-0.986353,1.938031,-1.289320
-0.993849,1.961961,-1.299724
-1.001174,1.985894,-1.304653
-1.008661,2.010592,-1.316622
-1.015721,2.035112,-1.323687
-1.022572,2.060020,-1.334470
-1.028883,2.083815,-1.343716
-1.034731,2.107905,-1.349966
