x,y,theta
0.016300,-0.010565,-0.109267
0.016294,-0.010562,-0.109266
0.016294,-0.010562,-0.109266
0.016877,-0.010742,-0.144440
0.016877,-0.010742,-0.144440
0.011105,-0.010646,-0.282618
0.011105,-0.010646,-0.282618
-0.000154,-0.009853,-0.522392
-0.007404,-0.007529,-0.662277
-0.007404,-0.007529,-0.662277
-0.025190,0.002009,-0.960910
-0.025190,0.002009,-0.960910
-0.044041,0.019364,-1.242133
-0.048291,0.024904,-1.309427
-0.059485,0.043974,-1.486493
-0.065156,0.058868,-1.585987
-0.065156,0.058868,-1.585987
-0.070941,0.091406,-1.715922
-0.070941,0.091406,-1.715922
-0.067677,0.124489,-1.667780
-0.065155,0.141637,-1.592865
-0.063719,0.159163,-1.484858
-0.063719,0.159163,-1.484858
-0.065485,0.195355,-1.257919
-0.069379,0.213740,-1.181416
-0.075375,0.232116,-1.126672
-0.083348,0.250875,-1.098012
-0.092917,0.270429,-1.099970
-0.098051,0.280285,-1.105104
-0.114057,0.310880,-1.136365
-0.124274,0.331605,-1.148710
-0.134295,0.353567,-1.162415
-0.139226,0.364675,-1.168430
-0.153898,0.398171,-1.180478
-0.163581,0.420421,-1.182691
-0.173133,0.442748,-1.188258
-0.182482,0.465471,-1.188946
-0.192075,0.488477,-1.188191
-0.201855,0.511614,-1.191116
-0.206878,0.523187,-1.193023
-0.221664,0.558342,-1.200113
-0.231464,0.582038,-1.202939
-0.240815,0.605252,-1.204692
-0.249760,0.627924,-1.206535
-0.254207,0.639438,-1.206876
-0.267766,0.673562,-1.209293
-0.272350,0.685259,-1.211021
-0.285896,0.719397,-1.213629
-0.294996,0.742608,-1.216623
-0.303832,0.765259,-1.218003
-0.312511,0.788319,-1.221377
-0.321419,0.811464,-1.223295
-0.325672,0.822880,-1.222958
-0.339132,0.858205,-1.227201
-0.347804,0.881699,-1.229581
-0.352032,0.893214,-1.229436
-0.361087,0.916798,-1.232361
-0.373749,0.952006,-1.233989
-0.381933,0.974845,-1.234011
-0.390670,0.997729,-1.235680
-0.390670,0.997729,-1.235680
-0.407417,1.044275,-1.235883
-0.407417,1.044275,-1.235883
-0.424595,1.091229,-1.237484
-0.433345,1.115028,-1.240139
-0.433345,1.115028,-1.240139
-0.451147,1.163419,-1.246028
-0.451147,1.163419,-1.246028
-0.468566,1.212600,-1.242422
-0.468566,1.212600,-1.242422
-0.485450,1.259386,-1.235927
-0.485450,1.259386,-1.235927
-0.506640,1.318522,-1.220874
-0.506640,1.318522,-1.220874
-0.525113,1.365779,-1.203074
-0.525113,1.365779,-1.203074
-0.543993,1.411321,-1.193056
-0.543993,1.411321,-1.193056
-0.563327,1.456846,-1.186051
-0.563327,1.456846,-1.186051
-0.588416,1.515007,-1.180110
-0.588416,1.515007,-1.180110
-0.608844,1.562081,-1.173944
-0.608844,1.562081,-1.173944
-0.634573,1.619587,-1.164709
-0.634573,1.619587,-1.164709
-0.655535,1.664696,-1.153455
-0.655535,1.664696,-1.153455
-0.683380,1.722379,-1.138248
-0.694603,1.745341,-1.132706
-0.694603,1.745341,-1.132706
-0.717026,1.791200,-1.113616
-0.717026,1.791200,-1.113616
-0.746264,1.846779,-1.095750
-0.746264,1.846779,-1.095750
-0.770890,1.891400,-1.084487
-0.770890,1.891400,-1.084487
-0.802016,1.947252,-1.067629
-0.802016,1.947252,-1.067629
-0.826665,1.990026,-1.040223
-0.826665,1.990026,-1.040223
-0.852500,2.032638,-1.028918
-0.852500,2.032638,-1.028918
-0.872688,2.065249,-1.024535
-0.893021,2.097937,-1.008811
-0.893021,2.097937,-1.008811
-0.920843,2.142003,-0.995894
