x,y,theta
0.002699,-0.003142,-0.011836
0.002699,-0.003142,-0.011836
0.002698,-0.003123,-0.012378
0.002698,-0.003123,-0.012378
0.003526,-0.003782,-0.097274
0.001036,-0.004197,-0.205735
-0.003492,-0.004075,-0.318856
-0.009311,-0.003709,-0.451987
-0.017094,-0.001923,-0.588769
-0.025464,0.001206,-0.738817
-0.034479,0.006476,-0.902991
-0.043962,0.013438,-1.055167
-0.053344,0.022335,-1.204901
-0.062483,0.033387,-1.356774
-0.069928,0.046341,-1.498127
-0.075352,0.060403,-1.610362
-0.079115,0.076064,-1.702074
-0.080733,0.092201,-1.764834
-0.079950,0.108718,-1.784587
-0.076934,0.124821,-1.740614
-0.073537,0.141222,-1.646476
-0.071050,0.157959,-1.516466
-0.070227,0.174529,-1.384430
-0.071052,0.191198,-1.254999
-0.073871,0.207450,-1.155948
-0.079221,0.225347,-1.081789
-0.086705,0.243301,-1.042617
-0.095861,0.261083,-1.031737
-0.106805,0.279764,-1.033724
-0.118196,0.298609,-1.040758
-0.129799,0.317796,-1.050989
-0.141771,0.338114,-1.059837
-0.153428,0.358413,-1.064155
-0.164860,0.379041,-1.071633
-0.176818,0.400330,-1.079530
-0.188613,0.421856,-1.086006
-0.200362,0.444040,-1.086362
-0.212264,0.466143,-1.089216
-0.224308,0.487988,-1.091052
-0.236744,0.510311,-1.094910
-0.248789,0.532887,-1.097425
-0.260600,0.555547,-1.096690
-0.272345,0.577335,-1.101204
-0.283486,0.598699,-1.103260
-0.294597,0.620193,-1.103021
-0.305772,0.641947,-1.104057
-0.317037,0.663661,-1.103966
-0.328693,0.685719,-1.107618
-0.340230,0.707916,-1.107869
-0.351484,0.730093,-1.110773
-0.363115,0.751543,-1.116849
-0.377933,0.769112,-1.161883
-0.393839,0.781607,-1.247596
-0.409607,0.792642,-1.350662
-0.423922,0.803492,-1.454668
-0.438277,0.812849,-1.574997
-0.438277,0.812849,-1.574997
-0.468503,0.826792,-1.893320
-0.484012,0.830646,-2.079086
-0.499892,0.831961,-2.250643
-0.516940,0.831196,-2.406354
-0.516940,0.831196,-2.406354
-0.564034,0.815586,-2.723666
-0.574545,0.810520,-2.771806
-0.596259,0.799048,-2.848323
-0.618310,0.785698,-2.901591
-0.640572,0.770664,-2.929704
-0.640572,0.770664,-2.929704
-0.688753,0.740577,-2.801263
-0.711447,0.726413,-2.714768
-0.733203,0.712743,-2.626801
-0.752443,0.700696,-2.538871
-0.769719,0.690114,-2.458125
-0.784837,0.680917,-2.390218
