x,y,theta
0.021393,-0.012613,-0.087351
0.021373,-0.012613,-0.087578
0.021437,-0.012649,-0.092476
0.021850,-0.012903,-0.137625
0.022010,-0.013524,-0.211277
0.017283,-0.013171,-0.295715
0.012577,-0.013028,-0.399799
0.006349,-0.011955,-0.511784
-0.001390,-0.009501,-0.628512
-0.010318,-0.005612,-0.758410
-0.020268,-0.000339,-0.899748
-0.030500,0.007029,-1.040897
-0.040704,0.016129,-1.182926
-0.050184,0.027228,-1.314435
-0.058454,0.040474,-1.430751
-0.065536,0.054987,-1.533456
-0.070998,0.071341,-1.624157
-0.074374,0.087896,-1.691517
-0.074771,0.105006,-1.709046
-0.072918,0.122005,-1.671563
-0.070210,0.138632,-1.592743
-0.068287,0.155713,-1.482359
-0.068145,0.173865,-1.369173
-0.069676,0.192669,-1.266404
-0.073507,0.211483,-1.184056
-0.078966,0.230515,-1.131598
-0.086609,0.250266,-1.103455
-0.095525,0.270240,-1.097819
-0.105858,0.290994,-1.101302
-0.116573,0.311860,-1.112454
-0.127301,0.332970,-1.120361
-0.138115,0.354865,-1.128517
-0.149043,0.377256,-1.136861
-0.160322,0.399935,-1.143184
-0.171204,0.422961,-1.151118
-0.181637,0.446037,-1.157192
-0.191671,0.469314,-1.160078
-0.201949,0.492484,-1.160312
-0.212686,0.515901,-1.164583
-0.223253,0.539374,-1.165626
-0.233820,0.563365,-1.168837
-0.244361,0.587504,-1.170007
-0.254737,0.611893,-1.172925
-0.265032,0.636400,-1.174262
-0.274870,0.659656,-1.172771
-0.284282,0.682150,-1.175092
-0.293994,0.704964,-1.176801
-0.303765,0.728002,-1.176183
-0.313602,0.751221,-1.177271
-0.323480,0.774689,-1.179400
-0.333460,0.797941,-1.181307
-0.343639,0.821662,-1.182024
-0.353440,0.845506,-1.183806
-0.363358,0.869688,-1.182303
-0.373462,0.894050,-1.184193
-0.383879,0.918366,-1.186102
-0.394080,0.942639,-1.186527
-0.403648,0.966334,-1.187046
-0.413499,0.990118,-1.189317
-0.423343,1.014178,-1.188333
-0.432941,1.038245,-1.188221
-0.442909,1.062501,-1.188653
-0.453105,1.086740,-1.190554
-0.462963,1.111206,-1.190321
-0.472601,1.135034,-1.191929
-0.482021,1.158733,-1.191972
-0.491736,1.182473,-1.191721
-0.501181,1.206544,-1.191219
-0.511253,1.230669,-1.190881
-0.521232,1.254812,-1.192850
-0.531399,1.279408,-1.194822
-0.541536,1.304363,-1.198098
-0.551417,1.328745,-1.196330
-0.560975,1.352887,-1.198891
-0.570825,1.376942,-1.195373
-0.580624,1.401045,-1.195701
-0.590752,1.425804,-1.199141
-0.600168,1.450168,-1.195911
-0.610145,1.475093,-1.196572
-0.619982,1.499295,-1.195073
-0.629708,1.523073,-1.196441
-0.639266,1.547149,-1.195011
-0.649319,1.571017,-1.195334
-0.659332,1.595665,-1.193579
-0.669292,1.620051,-1.192185
-0.679450,1.644939,-1.187082
-0.689850,1.669803,-1.180372
-0.699898,1.693653,-1.173106
-0.710013,1.716962,-1.169382
-0.720468,1.740359,-1.166992
-0.730807,1.763949,-1.162631
-0.741157,1.787594,-1.155776
-0.752152,1.811570,-1.148830
-0.763204,1.835684,-1.142280
-0.774402,1.859959,-1.136069
-0.786003,1.884233,-1.126348
-0.797842,1.907989,-1.119166
-0.809806,1.931249,-1.112293
-0.821670,1.954608,-1.109303
-0.833711,1.977762,-1.101823
-0.845537,2.001544,-1.090191
-0.857816,2.025326,-1.078698
-0.870308,2.048744,-1.067097
-0.882755,2.071436,-1.057175
-0.895507,2.093883,-1.052324
-0.908595,2.116607,-1.048148
-0.921966,2.139566,-1.043441
