x,y,theta
0.016962,-0.013919,0.018029
0.016949,-0.013904,0.018078
0.016947,-0.013917,0.017807
0.017122,-0.013588,0.047107
0.019808,-0.013012,0.094339
0.023110,-0.012310,0.167778
0.027738,-0.010521,0.257556
0.033552,-0.008004,0.375986
0.040519,-0.004640,0.504442
0.048477,0.000023,0.642133
0.057082,0.005879,0.780053
0.065722,0.013347,0.925145
0.073709,0.022166,1.073559
0.081069,0.033069,1.225399
0.087800,0.045652,1.357571
0.093554,0.059190,1.480838
0.097901,0.073906,1.594145
0.100170,0.088985,1.673326
0.100455,0.103757,1.704238
0.099791,0.118674,1.663171
0.098987,0.133395,1.568280
0.099279,0.148640,1.436441
0.101318,0.164544,1.289417
0.104993,0.180787,1.159334
0.110314,0.196815,1.047324
0.117525,0.213133,0.966178
0.126115,0.230420,0.899528
0.136435,0.246803,0.852634
0.148613,0.263528,0.820439
0.162193,0.279027,0.798225
0.177284,0.295375,0.786508
0.193240,0.311655,0.793291
0.209052,0.328110,0.815865
0.224879,0.345067,0.848424
0.239955,0.362475,0.883786
0.254728,0.380996,0.919453
0.269227,0.400111,0.945531
0.283633,0.419803,0.961294
0.297925,0.440210,0.966902
0.312031,0.461410,0.963760
0.326470,0.482299,0.958377
0.340585,0.503015,0.952064
0.354834,0.523477,0.947188
0.369404,0.544274,0.944513
0.384470,0.565299,0.942158
0.399013,0.585790,0.943080
0.413652,0.606294,0.942687
0.428691,0.627439,0.941112
0.444001,0.648535,0.942834
0.458500,0.668929,0.945500
0.473107,0.689274,0.946037
0.488202,0.710286,0.946630
0.503181,0.731834,0.947613
0.517752,0.752789,0.948411
0.532137,0.773190,0.945599
0.547344,0.795091,0.945162
0.562606,0.816536,0.944797
0.577239,0.837509,0.946884
0.591772,0.858394,0.946438
0.606604,0.879307,0.944737
0.622032,0.901113,0.944819
0.637332,0.922387,0.945846
0.652391,0.942963,0.945715
0.666931,0.963751,0.947216
0.681744,0.985515,0.947543
0.696672,1.007120,0.947306
0.711614,1.027952,0.947236
0.726557,1.048957,0.950525
0.741441,1.070484,0.953862
0.756057,1.091255,0.961257
0.770795,1.112750,0.966669
0.785612,1.134562,0.973161
0.800149,1.156088,0.976944
0.814477,1.177248,0.978364
0.828524,1.199363,0.989558
0.842660,1.220940,0.983982
0.856672,1.242477,0.989439
0.870263,1.264083,1.004519
0.883885,1.286051,0.999152
0.897757,1.308333,1.002163
0.911211,1.331562,1.015764
0.925033,1.354192,1.021622
0.937982,1.375694,1.026253
0.951249,1.398130,1.028469
0.964292,1.421273,1.037047
0.977434,1.444013,1.040803
0.990308,1.466298,1.040869
1.003403,1.488994,1.052086
1.015930,1.511922,1.056552
1.028193,1.534824,1.060264
1.040445,1.558124,1.067172
1.052948,1.581292,1.068667
1.064974,1.604172,1.079094
1.077237,1.627023,1.087210
1.089407,1.650195,1.093323
1.101194,1.673441,1.100923
1.112280,1.697069,1.109696
1.123911,1.720070,1.116089
1.135169,1.743773,1.127834
1.146252,1.768067,1.137187
1.157083,1.791974,1.145929
1.167651,1.815268,1.156775
1.177497,1.838942,1.157336
1.187342,1.863588,1.172342
1.197427,1.888085,1.182433
1.207336,1.912123,1.185730
