x,y,theta
0.005414,-0.008024,-0.108765
0.005421,-0.008028,-0.108931
0.005510,-0.007922,-0.102931
0.007764,-0.008086,-0.074603
0.011866,-0.007832,-0.038617
0.017616,-0.007799,-0.027998
0.024460,-0.007828,-0.033619
0.032461,-0.008176,-0.059813
0.041644,-0.009064,-0.105060
0.051682,-0.010407,-0.170910
0.062929,-0.012426,-0.253559
0.075059,-0.015807,-0.353580
0.088191,-0.020517,-0.455745
0.101759,-0.026795,-0.558444
0.116013,-0.035070,-0.654432
0.130389,-0.044401,-0.738381
0.144330,-0.055851,-0.816377
0.157897,-0.068272,-0.879296
0.171145,-0.082609,-0.922566
0.184418,-0.098702,-0.950846
0.197201,-0.115836,-0.972109
0.210139,-0.133866,-0.985458
0.222798,-0.152700,-0.991742
0.234970,-0.171437,-0.995609
0.241261,-0.181162,-0.996814
0.260552,-0.211619,-0.997201
0.273424,-0.231381,-0.997738
0.286426,-0.252107,-0.999811
0.299510,-0.272303,-1.004543
0.312833,-0.293062,-1.010366
0.325966,-0.313721,-1.017004
0.338463,-0.334187,-1.025040
0.351254,-0.355299,-1.034099
0.364126,-0.377290,-1.038303
0.376789,-0.398677,-1.046063
0.388754,-0.419662,-1.048855
0.400715,-0.440381,-1.051355
0.413268,-0.462187,-1.049937
0.425990,-0.483816,-1.044662
0.438503,-0.504968,-1.040256
0.450791,-0.525876,-1.032786
0.463394,-0.547327,-1.024308
0.476688,-0.568400,-1.018527
0.489798,-0.589485,-1.009585
0.502464,-0.610013,-1.006378
0.515713,-0.630651,-1.001963
0.529574,-0.651871,-1.003954
0.542945,-0.672613,-1.003019
0.556468,-0.693595,-1.001304
0.570312,-0.714953,-0.998019
0.584017,-0.735877,-0.989505
0.597515,-0.756181,-0.984719
0.611317,-0.777114,-0.975934
0.625956,-0.798626,-0.974051
0.640924,-0.819707,-0.965022
0.655527,-0.840438,-0.956251
0.669793,-0.860533,-0.951639
0.684249,-0.880649,-0.950178
0.699684,-0.901684,-0.945508
0.714638,-0.922550,-0.943563
0.728875,-0.943437,-0.945068
0.743983,-0.963804,-0.940652
0.759344,-0.984194,-0.939200
0.775485,-1.003738,-0.909317
0.790119,-1.024246,-0.912090
0.806362,-1.044742,-0.907006
0.822129,-1.064743,-0.901711
0.837829,-1.083851,-0.891515
0.853623,-1.103825,-0.884302
0.870076,-1.124615,-0.888541
0.886857,-1.144558,-0.869628
0.902352,-1.164718,-0.869800
0.918868,-1.183687,-0.857769
0.935810,-1.203519,-0.852700
0.952859,-1.222829,-0.840511
0.969626,-1.242027,-0.837044
0.986926,-1.261145,-0.829159
1.004316,-1.280748,-0.822023
1.022035,-1.300021,-0.815321
1.039964,-1.318635,-0.803395
1.057213,-1.337084,-0.809566
1.074778,-1.355702,-0.796475
1.093716,-1.374918,-0.783396
1.113395,-1.394602,-0.771444
1.133515,-1.413949,-0.757492
1.153544,-1.433118,-0.751141
1.172805,-1.452317,-0.743435
1.191767,-1.471245,-0.729475
1.211474,-1.489022,-0.727080
