x,y,theta
0.018212,0.006328,-0.308888
0.018214,0.006334,-0.308955
0.018216,0.006370,-0.308611
0.018407,0.006197,-0.341786
0.018506,0.005484,-0.416258
0.016130,0.005711,-0.512784
0.012097,0.006868,-0.608161
0.006662,0.009332,-0.702116
-0.000192,0.013187,-0.792951
-0.007988,0.018166,-0.891318
-0.016614,0.024831,-0.994343
-0.025457,0.033448,-1.096467
-0.034049,0.043533,-1.191746
-0.041999,0.055568,-1.289235
-0.049522,0.069469,-1.384294
-0.055828,0.084827,-1.474103
-0.060426,0.101397,-1.553956
-0.063477,0.119138,-1.619467
-0.065421,0.138261,-1.673807
-0.066824,0.153687,-1.724770
-0.068821,0.164487,-1.778221
-0.070560,0.175851,-1.825800
-0.072650,0.184006,-1.872822
-0.075140,0.189229,-1.919105
-0.077458,0.193203,-1.950707
-0.079663,0.195400,-1.983114
-0.081920,0.195529,-1.996826
-0.081920,0.195529,-1.996826
-0.083567,0.191534,-1.876694
-0.083492,0.187707,-1.751155
-0.083117,0.182670,-1.605713
-0.081999,0.176298,-1.448176
-0.080778,0.168606,-1.300449
-0.078542,0.159437,-1.159388
-0.075281,0.149374,-1.027009
-0.070628,0.138955,-0.898944
-0.064381,0.127839,-0.774495
-0.056381,0.116893,-0.649433
-0.046587,0.106779,-0.527532
-0.035688,0.097193,-0.417084
-0.023349,0.088509,-0.315674
-0.009412,0.080812,-0.238133
0.005440,0.073659,-0.187297
0.012680,0.068283,-0.134228
0.012680,0.068283,-0.134228
0.027593,0.050057,0.020880
0.025183,0.048421,0.028325
0.022032,0.047952,0.012025
0.022032,0.047952,0.012025
0.022931,0.047273,-0.030146
0.022931,0.047273,-0.030146
0.029225,0.046677,-0.053381
0.034917,0.046253,-0.082280
0.041971,0.045588,-0.121069
0.050338,0.044419,-0.165451
0.060304,0.042943,-0.212634
0.071700,0.040589,-0.263188
0.080666,0.038367,-0.306132
0.083946,0.037542,-0.349626
0.087396,0.037873,-0.403415
0.089409,0.037823,-0.440966
0.089187,0.038622,-0.473507
0.087075,0.040374,-0.499698
0.083502,0.042564,-0.522193
0.078407,0.045694,-0.547450
0.071722,0.049849,-0.574284
0.063846,0.054788,-0.599933
0.054331,0.060684,-0.620692
0.043702,0.067747,-0.643099
0.031614,0.075864,-0.663861
0.018586,0.084937,-0.686187
0.004549,0.095473,-0.710263
-0.010266,0.107356,-0.729752
-0.025536,0.120355,-0.749021
-0.040229,0.133302,-0.769151
-0.049992,0.141781,-0.785151
-0.059729,0.150208,-0.799897
-0.066962,0.157067,-0.808807
-0.073505,0.161468,-0.828361
-0.078315,0.165277,-0.836660
-0.081606,0.167580,-0.848530
-0.083386,0.168357,-0.860962
-0.083760,0.167923,-0.872748
-0.082941,0.166280,-0.881591
-0.081263,0.163518,-0.895354
-0.078433,0.159428,-0.907833
-0.074770,0.154543,-0.921320
-0.070212,0.148292,-0.934709
-0.064645,0.140904,-0.943083
-0.057936,0.131895,-0.951641
-0.050772,0.121826,-0.959215
-0.043062,0.110687,-0.967572
-0.034094,0.098091,-0.974234
-0.024734,0.084699,-0.983406
-0.014753,0.069877,-0.999738
-0.005447,0.055791,-1.013817
-0.000466,0.048272,-1.025572
