ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
400842,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400847,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400852,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400857,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400862,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400867,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400872,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400877,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400882,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400887,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400892,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400897,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400902,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400907,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400912,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400917,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400922,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400927,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400932,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400937,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400942,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400947,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400952,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400957,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400962,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400967,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400972,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400977,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400982,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400987,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400992,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
400997,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401002,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401007,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401012,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401017,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401022,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401027,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401032,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401037,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401042,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401047,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401052,,,,,,,,,,,0.000000,0.000000,,,0.000000,0.000000,,,,,,,,,,,,
401374,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401379,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401389,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401390,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401392,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401397,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401402,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401407,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401412,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401417,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401422,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401434,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401437,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401442,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401447,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401452,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401457,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401462,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401467,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401472,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401477,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401482,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401494,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401497,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401502,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401507,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401512,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401517,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401522,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401527,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401532,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401537,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401542,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401547,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401552,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401557,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401562,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401574,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401577,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401582,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401587,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401592,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401597,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401602,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401607,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401612,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401617,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401622,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401633,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401637,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401642,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401647,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401652,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401657,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401662,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401667,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401672,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401677,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401682,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401693,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401697,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401702,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401707,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401712,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401717,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401722,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401727,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401732,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401737,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401742,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401754,,,,,,,,,,,0.000000,0.000000,,,0.000000,0.000000,,,,,,,,,,,,
401755,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401757,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401762,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401767,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401772,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401777,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401782,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401787,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401792,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401797,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401802,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401807,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401812,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401817,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401822,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401833,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401834,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401837,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401842,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401847,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401852,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401857,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401862,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401867,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
401872,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
