x,y,theta
0.002653,-0.005472,-0.054482
0.002649,-0.005479,-0.054421
0.002645,-0.005475,-0.054516
0.002809,-0.005408,-0.052234
0.004019,-0.005507,-0.049865
0.000581,-0.005250,-0.045381
-0.004929,-0.004969,-0.044312
-0.010277,-0.004901,-0.048663
-0.017989,-0.004734,-0.058484
-0.026962,-0.004338,-0.071337
-0.037663,-0.003755,-0.090208
-0.049620,-0.002989,-0.118953
-0.063385,-0.002096,-0.158721
-0.078365,-0.000719,-0.219794
-0.094813,0.001489,-0.303322
-0.111423,0.005229,-0.410932
-0.127507,0.010334,-0.538820
-0.143606,0.017499,-0.678392
-0.157084,0.025969,-0.813157
-0.167564,0.031097,-0.941603
-0.176885,0.036297,-1.054118
-0.184573,0.039837,-1.154640
-0.190783,0.041864,-1.241735
-0.195919,0.042012,-1.327286
-0.200348,0.040662,-1.408507
-0.203641,0.037976,-1.478399
-0.206171,0.033661,-1.538903
-0.208142,0.027950,-1.586708
-0.209870,0.020768,-1.627217
-0.211487,0.011951,-1.660498
-0.213020,0.001457,-1.693642
-0.214860,-0.010554,-1.727853
-0.216877,-0.023891,-1.756356
-0.219507,-0.038613,-1.787560
-0.223106,-0.054911,-1.814927
-0.227324,-0.071972,-1.839381
-0.232420,-0.090302,-1.859019
-0.237941,-0.109230,-1.871604
-0.244047,-0.129306,-1.885107
-0.250609,-0.149394,-1.889306
-0.257494,-0.169968,-1.892076
-0.264665,-0.191175,-1.894588
-0.271715,-0.212896,-1.897420
-0.278773,-0.234396,-1.901587
-0.285969,-0.255986,-1.905260
-0.293476,-0.277605,-1.908699
-0.300840,-0.299150,-1.911913
-0.308205,-0.320792,-1.918149
-0.315783,-0.342737,-1.926576
-0.323777,-0.364181,-1.932405
-0.332234,-0.386214,-1.935624
-0.340375,-0.407885,-1.940421
-0.348558,-0.429312,-1.942621
-0.357065,-0.450908,-1.944414
-0.365705,-0.472795,-1.945951
-0.374015,-0.494454,-1.949334
-0.382533,-0.516500,-1.950810
-0.391209,-0.538788,-1.953797
-0.399953,-0.560572,-1.959712
-0.408552,-0.582346,-1.964229
-0.417628,-0.604714,-1.967568
-0.426856,-0.627239,-1.971902
-0.436151,-0.648917,-1.973966
-0.445124,-0.670980,-1.980057
-0.454512,-0.693108,-1.980908
-0.463968,-0.715532,-1.981725
-0.473833,-0.737931,-1.983165
-0.483297,-0.760100,-1.989423
-0.492962,-0.782450,-1.989820
-0.502893,-0.805229,-1.995001
-0.512841,-0.827587,-1.994183
-0.522656,-0.849688,-2.000448
-0.532580,-0.872323,-2.001541
-0.542701,-0.894832,-2.003945
-0.552669,-0.916988,-2.009282
-0.563119,-0.939250,-2.010065
-0.573125,-0.962044,-2.013182
-0.583644,-0.984644,-2.013251
-0.594021,-1.007181,-2.016492
-0.604750,-1.029547,-2.016611
-0.615038,-1.051729,-2.019269
-0.625338,-1.074099,-2.020971
-0.636131,-1.097015,-2.020940
-0.647392,-1.119620,-2.036550
-0.658597,-1.141891,-2.083510
-0.670936,-1.163367,-2.172848
-0.684348,-1.182172,-2.305099
-0.696513,-1.197482,-2.453652
-0.709988,-1.210712,-2.636619
-0.723363,-1.221374,-2.820061
-0.735664,-1.229908,-2.993510
-0.747108,-1.235720,3.130195
-0.758368,-1.239373,2.996964
-0.768169,-1.241342,2.887863
-0.775852,-1.242250,2.806057
-0.782305,-1.240755,2.745408
-0.787619,-1.238156,2.697029
-0.794015,-1.234353,2.665701
-0.803114,-1.229852,2.626597
-0.812406,-1.224716,2.638036
-0.822553,-1.219823,2.739483
-0.833358,-1.216466,2.934327
-0.844009,-1.215480,-3.109784
-0.853698,-1.217497,-2.851407
-0.861578,-1.221576,-2.590749
-0.867497,-1.225992,-2.338980
-0.872433,-1.232100,-2.089685
-0.878408,-1.240309,-1.850984
-0.882154,-1.249453,-1.617972
-0.885098,-1.259903,-1.389783
-0.886324,-1.270223,-1.176486
-0.886335,-1.281875,-0.971557
-0.884087,-1.292968,-0.776265
-0.880040,-1.303815,-0.586519
-0.874421,-1.313849,-0.401829
-0.867030,-1.323092,-0.240488
-0.858913,-1.330878,-0.137098
-0.850695,-1.336938,-0.120921
-0.842549,-1.341808,-0.186237
-0.834111,-1.345256,-0.315716
-0.829384,-1.347533,-0.463226
-0.827233,-1.349641,-0.647562
-0.822348,-1.354480,-0.822505
-0.816261,-1.360726,-1.000245
-0.809924,-1.368573,-1.174935
-0.803474,-1.378447,-1.348267
-0.798824,-1.389310,-1.521930
-0.795774,-1.401231,-1.686937
-0.794143,-1.414201,-1.853633
-0.794120,-1.428570,-2.019547
-0.796181,-1.442663,-2.175682
-0.800319,-1.456305,-2.328193
-0.806097,-1.469374,-2.478990
-0.813997,-1.482779,-2.625235
-0.823383,-1.494388,-2.768152
-0.834467,-1.505131,-2.906559
-0.847015,-1.514091,-3.046718
-0.861010,-1.521847,3.108678
-0.876271,-1.527579,2.981095
-0.891922,-1.531475,2.876642
-0.906626,-1.532879,2.809514
-0.920147,-1.531972,2.766292
-0.932760,-1.529030,2.762038
