x,y,theta
0.017807,-0.012394,-0.055760
0.017807,-0.012396,-0.055908
0.017812,-0.012424,-0.056039
0.018480,-0.012454,-0.057012
0.021032,-0.012683,-0.061603
0.025146,-0.012966,-0.069020
0.030451,-0.013468,-0.078536
0.037324,-0.013964,-0.071867
0.045378,-0.014250,-0.045408
0.054412,-0.014422,0.009922
0.064425,-0.013957,0.100634
0.075603,-0.011887,0.228589
0.086187,-0.008217,0.382623
0.096582,-0.002921,0.555435
0.106399,0.003941,0.735522
0.115088,0.012257,0.916486
0.122276,0.021995,1.088058
0.127901,0.032777,1.244056
0.131900,0.044413,1.379507
0.133925,0.056038,1.496538
0.134446,0.068552,1.591476
0.133934,0.081182,1.663642
0.132292,0.094321,1.723489
0.129812,0.107336,1.769653
0.126677,0.121033,1.814025
0.122707,0.135269,1.855136
0.118367,0.149606,1.892890
0.113134,0.164327,1.930618
0.106882,0.179130,1.969206
0.100417,0.193874,2.005206
0.093228,0.208877,2.038241
0.085254,0.224297,2.068127
0.076535,0.239887,2.095528
0.067069,0.255867,2.114908
0.056962,0.271566,2.136578
0.046373,0.287945,2.155762
0.035189,0.304531,2.167731
0.023781,0.321027,2.180845
0.011366,0.338352,2.190334
-0.082658,0.470489,2.127935
-0.082801,0.470473,2.139269
-0.082500,0.469922,2.144286
-0.080447,0.466700,2.148360
-0.078733,0.463576,2.196386
-0.080402,0.464722,2.240328
-0.082431,0.465048,2.370048
-0.083746,0.464555,2.585774
-0.085741,0.463584,2.868131
-0.087535,0.461754,-3.094913
-0.088447,0.459884,-2.800216
-0.089483,0.457969,-2.555172
-0.091450,0.455043,-2.341039
-0.094168,0.451113,-2.158482
-0.096914,0.445502,-1.976319
-0.098578,0.438433,-1.773554
-0.099202,0.430116,-1.523521
-0.097484,0.421487,-1.226489
-0.093672,0.413680,-0.906135
-0.088502,0.407236,-0.598510
-0.082027,0.401335,-0.304011
-0.074312,0.396758,-0.022859
-0.065599,0.393550,0.235074
-0.057177,0.392180,0.477874
-0.048360,0.392475,0.715881
-0.039835,0.394821,0.952800
-0.031867,0.398574,1.175386
-0.024582,0.403976,1.392505
-0.018766,0.410921,1.605210
-0.014461,0.419051,1.815837
-0.011757,0.427523,2.019931
-0.010777,0.436768,2.214735
-0.011737,0.445500,2.398124
