x,y,theta
0.001855,0.003250,0.068913
0.001840,0.003242,0.068456
0.001845,0.003244,0.068492
0.001861,0.003224,0.067966
0.001873,0.003199,0.067189
0.002408,0.003269,0.065847
0.004783,0.003444,0.064129
0.008572,0.003526,0.060228
0.013840,0.003738,0.056920
0.020583,0.004147,0.066937
0.028582,0.004942,0.091628
0.037543,0.006136,0.140246
0.047956,0.008094,0.204855
0.059071,0.010956,0.303944
0.070180,0.015332,0.429240
0.081294,0.021490,0.582557
0.091209,0.029238,0.747181
0.099566,0.038161,0.919856
0.107061,0.048337,1.086672
0.112605,0.059286,1.243655
0.116179,0.070946,1.376992
0.118041,0.082635,1.490318
0.118385,0.094522,1.579440
0.117867,0.106509,1.648013
0.116280,0.119241,1.698459
0.115333,0.125556,1.722278
0.111617,0.144843,1.782346
0.108341,0.158760,1.823196
0.104114,0.173083,1.865784
0.099528,0.187084,1.909663
0.094290,0.201510,1.952824
0.088171,0.216158,1.992939
0.081078,0.230996,2.029661
0.073151,0.246438,2.062809
0.064789,0.261591,2.087903
0.055586,0.277008,2.111931
0.045825,0.293058,2.129812
0.035567,0.309316,2.143353
0.024381,0.326389,2.155605
0.012949,0.343152,2.168823
0.001157,0.359945,2.179295
-0.010840,0.377326,2.186851
-0.023187,0.394765,2.194608
-0.036759,0.413066,2.200809
-0.050362,0.430826,2.204457
-0.063908,0.448699,2.206017
-0.077377,0.466680,2.206287
-0.090786,0.484847,2.204122
-0.105168,0.504011,2.203432
-0.119746,0.522948,2.206789
-0.134340,0.542720,2.210843
-0.148629,0.561914,2.214176
-0.163373,0.580987,2.219054
-0.178356,0.599932,2.225164
-0.193408,0.619353,2.230838
-0.208604,0.638507,2.234581
-0.223718,0.657733,2.238610
-0.238851,0.676411,2.239443
-0.254179,0.695390,2.239541
-0.269206,0.714346,2.233043
-0.284622,0.733388,2.229710
-0.299884,0.752574,2.221756
-0.314490,0.771596,2.214340
-0.328834,0.790731,2.203864
-0.343313,0.810087,2.190373
-0.357702,0.829587,2.179238
-0.371749,0.849543,2.162593
-0.385034,0.869305,2.145925
-0.397978,0.888965,2.124945
-0.410889,0.909655,2.102312
-0.423234,0.930080,2.077797
-0.434730,0.950257,2.048919
-0.445988,0.970936,2.016947
-0.456602,0.992292,1.985884
-0.465900,1.013473,1.953251
-0.474345,1.034691,1.922916
-0.482795,1.057083,1.888945
-0.490490,1.079674,1.851108
-0.497232,1.102053,1.813241
-0.502800,1.124224,1.769680
-0.507566,1.146724,1.721983
-0.511655,1.169974,1.672847
-0.513866,1.193159,1.627197
-0.515116,1.215744,1.576615
-0.515526,1.238538,1.525239
-0.514988,1.262115,1.475542
-0.513185,1.285069,1.427998
-0.486765,1.417979,1.193339
-0.482145,1.428957,1.155989
-0.478346,1.437742,1.126356
-0.474833,1.444712,1.104496
-0.472621,1.450052,1.126849
-0.471584,1.455032,1.251216
-0.471914,1.459839,1.430215
-0.472652,1.465553,1.621630
-0.473615,1.473407,1.803196
-0.476297,1.482139,1.977085
-0.480106,1.491868,2.153007
-0.485393,1.502031,2.335118
-0.492006,1.512540,2.509196
-0.500757,1.522881,2.680985
-0.511111,1.532546,2.843859
-0.522746,1.540256,3.009232
-0.535594,1.546650,-3.124638
-0.549692,1.551091,-2.979682
-0.563997,1.553677,-2.839772
-0.579223,1.554510,-2.718431
-0.594264,1.553474,-2.612125
-0.609489,1.550234,-2.553753
-0.623230,1.545285,-2.572225
-0.635580,1.539239,-2.672638
-0.647336,1.533917,-2.821446
-0.658909,1.530778,-2.991174
-0.673375,1.528461,3.119957
-0.688306,1.526805,2.977654
-0.704969,1.527175,2.826400
-0.721863,1.530002,2.698403
-0.738621,1.534428,2.595817
-0.755805,1.541029,2.506248
-0.772536,1.549853,2.434335
-0.788974,1.560840,2.369169
-0.804724,1.574067,2.308199
-0.820331,1.588988,2.264285
-0.835561,1.605618,2.234049
-0.850227,1.623847,2.217386
-0.864774,1.642600,2.211864
-0.879666,1.661694,2.216152
-0.895266,1.682504,2.221517
-0.910746,1.703220,2.229389
-0.926363,1.723729,2.230207
-0.942662,1.744344,2.228592
-0.958790,1.765090,2.232339
-0.974693,1.785862,2.225773
-0.990563,1.806626,2.215278
-1.006663,1.827966,2.215027
-1.022850,1.849386,2.207781
-1.039110,1.871191,2.196670
-1.054997,1.893260,2.156763
-1.069768,1.915782,2.084485
-1.081698,1.938594,1.987967
-1.091154,1.958735,1.883052
-1.098605,1.978697,1.813829
-1.105635,1.998840,1.790372
-1.112314,2.023713,1.785606
-1.118217,2.047644,1.788538
-1.122197,2.071614,1.756299
-1.126663,2.095559,1.710414
-1.129839,2.119403,1.618909
-1.130710,2.142316,1.494561
-1.129856,2.161973,1.349327
-1.127005,2.179843,1.193760
-1.121917,2.196558,1.036824
-1.114489,2.211577,0.871780
-1.105286,2.226855,0.710107
-1.094362,2.239633,0.534661
-1.081256,2.249867,0.354858
