x,y,theta
0.016770,-0.013589,-0.059231
0.016788,-0.013584,-0.059628
0.016770,-0.013596,-0.059351
0.017078,-0.013669,-0.059979
0.019544,-0.013729,-0.055141
0.023407,-0.013650,-0.053124
0.028609,-0.013740,-0.044066
0.035199,-0.013882,-0.025260
0.043002,-0.013714,0.014777
0.052479,-0.013117,0.072170
0.062273,-0.011992,0.157663
0.073190,-0.009675,0.275403
0.084072,-0.005694,0.418536
0.094728,0.000114,0.582237
0.104864,0.007401,0.759710
0.113825,0.016152,0.938556
0.121273,0.026350,1.113663
0.126567,0.037062,1.278633
0.130102,0.048519,1.419563
0.131724,0.060361,1.543322
0.131928,0.072238,1.640326
0.130662,0.084656,1.715643
0.128344,0.097111,1.773777
0.125286,0.109334,1.818751
0.121689,0.122260,1.856748
0.117646,0.135181,1.891888
0.112999,0.148580,1.924672
0.107650,0.162190,1.958553
0.101596,0.176576,1.992132
0.094440,0.191400,2.024370
0.086895,0.206093,2.057226
0.078576,0.221411,2.084134
0.069691,0.236655,2.110821
0.060540,0.251998,2.131956
0.050397,0.267787,2.149529
0.039562,0.283609,2.160916
0.028340,0.299686,2.172574
0.016726,0.316030,2.180243
0.005058,0.332404,2.185211
-0.007315,0.349389,2.190787
-0.020204,0.367162,2.192301
-0.032863,0.384828,2.195211
-0.046090,0.402983,2.196134
-0.059467,0.421538,2.195554
-0.073359,0.439832,2.195693
-0.087697,0.458689,2.193407
-0.101664,0.477626,2.193953
-0.115427,0.496989,2.192347
-0.129760,0.516547,2.193782
-0.144174,0.536536,2.196850
-0.158770,0.556351,2.202234
-0.173384,0.576010,2.209950
-0.188177,0.595615,2.212392
-0.202855,0.614490,2.214064
-0.217958,0.634017,2.216284
-0.232738,0.653656,2.215329
-0.247753,0.673294,2.213496
-0.257061,0.697647,2.201233
-0.262263,0.724926,2.203318
-0.265886,0.753134,2.255912
-0.268965,0.782230,2.307755
-0.271358,0.812248,2.373379
-0.273811,0.840891,2.470295
-0.275120,0.869014,2.567687
-0.275614,0.896199,2.693096
-0.274609,0.918655,2.905614
-0.271763,0.941906,3.094637
-0.268347,0.962952,-3.007200
-0.266338,0.984680,-2.851083
-0.262444,1.003714,-2.699452
-0.256543,1.020820,-2.554845
-0.249712,1.036852,-2.414971
-0.244699,1.049482,-2.270880
-0.239573,1.060021,-2.111210
-0.234764,1.068395,-1.934630
-0.231074,1.074856,-1.771199
-0.228551,1.079780,-1.641915
-0.227030,1.082698,-1.558315
-0.226218,1.083494,-1.518472
-0.226179,1.082389,-1.514026
-0.226074,1.080658,-1.517687
-0.225940,1.077996,-1.527042
-0.225740,1.074389,-1.541369
-0.225604,1.070543,-1.556404
-0.225533,1.066426,-1.570505
-0.225584,1.062236,-1.583985
-0.225712,1.057907,-1.597748
