x,y,theta
0.033133,-0.017244,0.041722
0.033128,-0.017242,0.041835
0.033138,-0.017238,0.041614
0.033066,-0.017270,0.040710
0.034192,-0.017260,0.041571
0.037029,-0.017174,0.038315
0.041397,-0.016942,0.035949
0.047208,-0.016807,0.028698
0.054610,-0.016630,0.023120
0.063978,-0.016381,0.016930
0.074545,-0.016365,0.010881
0.087302,-0.015925,0.010407
0.101031,-0.015661,0.005800
0.117195,-0.015301,0.004937
0.134481,-0.015000,-0.000210
0.154012,-0.014410,-0.000899
0.174526,-0.014002,0.003307
0.196075,-0.014168,0.001206
0.217382,-0.014462,-0.016586
0.236485,-0.014939,-0.044561
0.252499,-0.015503,-0.078657
0.268477,-0.017247,-0.120358
0.284412,-0.019790,-0.164909
0.298931,-0.022711,-0.206056
0.312681,-0.026264,-0.256542
0.325662,-0.030290,-0.303473
0.338320,-0.034745,-0.349832
0.350521,-0.039714,-0.390742
0.360027,-0.043445,-0.402406
0.368820,-0.046387,-0.332198
0.375905,-0.047938,-0.237359
0.382253,-0.048021,-0.086236
0.386934,-0.046954,0.102800
0.389326,-0.044836,0.317114
0.389545,-0.041994,0.587580
0.387672,-0.039931,0.895270
0.383575,-0.039328,1.231732
0.378408,-0.041384,1.616898
0.373400,-0.047154,2.044315
0.371171,-0.056036,2.452281
0.373640,-0.064165,2.709661
0.377006,-0.068543,2.812023
0.376214,-0.070965,2.865405
0.376451,-0.071751,2.829301
0.374833,-0.070843,2.765886
0.372340,-0.069246,2.675524
0.368733,-0.066371,2.559080
0.364700,-0.062150,2.399445
0.359867,-0.056276,2.211732
0.355505,-0.048558,1.987690
0.352751,-0.039367,1.735027
0.351277,-0.029390,1.469931
0.351372,-0.019076,1.213249
0.352649,-0.007705,0.957410
0.355873,0.003316,0.697492
0.360923,0.013346,0.431346
0.367035,0.022845,0.176344
0.374494,0.031323,-0.079582
0.382918,0.038316,-0.338812
0.391608,0.043559,-0.603773
0.400787,0.047306,-0.871067
0.409477,0.048815,-1.150773
0.417201,0.049040,-1.435356
0.423740,0.048161,-1.733047
0.428920,0.046465,-2.020380
0.432889,0.043836,-2.312116
0.435131,0.041258,-2.611692
0.436094,0.038857,-2.916992
0.435651,0.036388,3.067416
0.433896,0.034528,2.766398
0.431361,0.034032,2.463443
0.428333,0.035014,2.157244
0.425396,0.037113,1.850759
0.422423,0.040548,1.546681
0.420390,0.045227,1.239028
0.420050,0.050652,0.960920
0.421750,0.055081,0.756658
0.420596,0.054433,0.593303
0.416711,0.053603,0.422310
0.413297,0.050295,0.279577
0.407613,0.046220,0.139736
0.400198,0.043498,0.007894
0.391583,0.041975,-0.116585
0.381340,0.041612,-0.243006
0.370192,0.042804,-0.366775
0.358551,0.045476,-0.488087
0.346672,0.049892,-0.607544
0.334358,0.056489,-0.715404
0.324277,0.063369,-0.795750
0.318582,0.066270,-0.861734
0.312571,0.068371,-0.930229
0.309433,0.069445,-0.974743
0.307138,0.068155,-1.024371
0.306500,0.066251,-1.058764
0.307013,0.063020,-1.084188
0.308659,0.058552,-1.099202
0.311348,0.052882,-1.100844
0.314845,0.045772,-1.090609
0.319403,0.037341,-1.064272
0.324846,0.027850,-1.036729
0.327467,0.023063,-1.011438
0.328141,0.021175,-0.990936
0.329438,0.018539,-0.973585
0.327620,0.019527,-0.956607
0.325915,0.021144,-0.943832
0.322771,0.025755,-0.935927
0.318497,0.031084,-0.920831
0.313047,0.038171,-0.916699
0.306309,0.046808,-0.916695
0.298315,0.056714,-0.912851
0.288766,0.068592,-0.912294
0.278451,0.081957,-0.917843
0.266828,0.096319,-0.917598
0.253943,0.112502,-0.921479
0.239953,0.130274,-0.927100
0.224792,0.149736,-0.933738
0.208680,0.170199,-0.945334
0.191179,0.192414,-0.959980
0.172680,0.216137,-0.974676
0.153104,0.241596,-0.995508
0.132509,0.268690,-1.019181
0.111121,0.297253,-1.049111
0.088929,0.327654,-1.081584
0.065883,0.359807,-1.121717
0.043177,0.394053,-1.166558
0.022671,0.429726,-1.198523
0.004679,0.466462,-1.218239
-0.011342,0.504282,-1.232472
-0.025981,0.541796,-1.239129
-0.038686,0.576889,-1.242782
-0.051248,0.612303,-1.244585
-0.063887,0.647955,-1.242663
-0.076334,0.683857,-1.243251
-0.088668,0.719553,-1.240456
-0.101365,0.755982,-1.234003
-0.114159,0.793000,-1.222752
-0.125581,0.825475,-1.211093
-0.136721,0.856422,-1.198079
