x,y,theta
0.003438,-0.005674,-0.091230
0.003421,-0.005688,-0.091131
0.015820,-0.006290,-0.118304
0.065728,-0.011778,-0.143811
0.151942,-0.025978,-0.226014
0.259491,-0.050691,-0.218316
0.375284,-0.074029,-0.192913
0.491534,-0.095247,-0.191097
0.608981,-0.115280,-0.131908
0.724823,-0.123236,0.028487
0.840536,-0.112083,0.112454
0.963216,-0.098203,0.092695
1.086314,-0.082246,0.217101
1.198970,-0.048097,0.335598
1.316323,-0.008740,0.307204
1.433226,0.031705,0.412887
1.540600,0.087350,0.682647
1.609226,0.141722,0.814803
1.677265,0.192212,0.636023
1.687353,0.229698,0.251481
1.672928,0.225106,0.443943
1.668685,0.232521,1.008488
1.677577,0.267117,1.490910
1.678848,0.314799,1.632169
1.673114,0.386253,1.696137
1.665062,0.456982,1.684807
1.657986,0.532928,1.617425
1.654930,0.613644,1.573512
1.656522,0.688558,1.558739
1.654999,0.747915,1.616651
1.651344,0.810418,1.687991
1.640789,0.877540,1.782695
1.625092,0.955850,1.670740
1.615137,1.027144,1.655442
