x,y,theta
0.009829,-0.023197,0.013900
0.009799,-0.023150,0.015409
0.009848,-0.023188,0.014038
0.009797,-0.023134,0.015543
0.011451,-0.023274,0.010705
0.014434,-0.023206,0.008782
0.018853,-0.023266,0.003734
0.024616,-0.023171,-0.006392
0.032017,-0.023122,-0.012665
0.040895,-0.023182,-0.022626
0.050952,-0.023282,-0.027290
0.062989,-0.023512,-0.030598
0.076247,-0.023884,-0.037434
0.090878,-0.024103,-0.038054
0.107125,-0.024594,-0.044393
0.124524,-0.025387,-0.051829
0.143946,-0.026190,-0.058840
0.164038,-0.027210,-0.065037
0.184345,-0.028375,-0.068279
0.205908,-0.029692,-0.071580
0.228035,-0.031414,-0.071504
0.251031,-0.033199,-0.068949
0.274275,-0.034850,-0.069374
0.297020,-0.036273,-0.077983
0.320505,-0.038586,-0.112173
0.343498,-0.041457,-0.175119
0.365911,-0.046273,-0.264806
0.386222,-0.052480,-0.371095
0.404221,-0.059566,-0.494883
0.420781,-0.068574,-0.624057
0.435657,-0.079207,-0.755102
0.448572,-0.091103,-0.879246
0.459414,-0.104377,-1.012647
0.467959,-0.118267,-1.147142
0.474629,-0.132172,-1.287153
0.479168,-0.146398,-1.444356
0.481614,-0.161628,-1.611478
0.481912,-0.176847,-1.786027
0.480086,-0.191295,-1.962554
0.476030,-0.205561,-2.136855
0.470175,-0.218868,-2.302950
0.462466,-0.231529,-2.457155
0.453375,-0.243365,-2.596992
0.442752,-0.254766,-2.716750
0.430838,-0.265129,-2.794195
0.418090,-0.274424,-2.802882
0.405105,-0.282377,-2.749256
0.391898,-0.289129,-2.634178
0.379616,-0.296917,-2.476680
0.369151,-0.306105,-2.295046
0.360023,-0.316710,-2.109191
0.351253,-0.328856,-1.925547
0.343761,-0.342282,-1.760249
0.337800,-0.356752,-1.612178
0.333079,-0.372125,-1.479424
0.329995,-0.388390,-1.359213
0.328526,-0.405402,-1.250913
0.329346,-0.422149,-1.150770
0.331882,-0.439348,-1.054534
0.336400,-0.456474,-0.966740
0.342814,-0.473777,-0.881352
0.351110,-0.490429,-0.800618
0.361526,-0.506755,-0.721349
0.373437,-0.521772,-0.651965
0.387317,-0.536062,-0.588583
0.402892,-0.549814,-0.529839
0.419946,-0.562114,-0.480497
0.438592,-0.574148,-0.440302
0.458475,-0.584849,-0.407364
0.479905,-0.594942,-0.383298
0.502027,-0.603921,-0.370673
0.524493,-0.612834,-0.360286
0.547765,-0.621934,-0.361333
0.571578,-0.630935,-0.372015
0.595746,-0.640339,-0.393137
0.619076,-0.650178,-0.418799
0.641579,-0.660468,-0.450846
0.664517,-0.671532,-0.476152
0.687124,-0.682840,-0.489618
0.710329,-0.695318,-0.496551
0.733365,-0.707593,-0.494174
0.756619,-0.720074,-0.488439
0.779717,-0.732101,-0.487044
0.802215,-0.744324,-0.488089
0.824518,-0.756345,-0.500569
0.847681,-0.769164,-0.515272
0.869854,-0.782009,-0.547707
0.891412,-0.795851,-0.584236
0.912062,-0.810154,-0.621758
0.931884,-0.825146,-0.659970
0.951471,-0.840233,-0.688064
0.969900,-0.855755,-0.712360
0.988765,-0.871993,-0.708053
1.008953,-0.888883,-0.682508
1.029416,-0.905233,-0.659653
1.049550,-0.921106,-0.644716
1.068989,-0.937228,-0.670671
1.088492,-0.954422,-0.759592
1.106449,-0.972294,-0.863072
1.120929,-0.989629,-0.966803
1.133734,-1.006166,-1.054182
1.144848,-1.023345,-1.081197
1.155694,-1.044124,-1.088878
1.167264,-1.065508,-1.097193
1.178471,-1.087241,-1.073680
1.190910,-1.109392,-1.057035
1.203476,-1.131760,-1.049445
1.215871,-1.153092,-1.029663
1.227839,-1.174444,-1.019764
1.240815,-1.196886,-1.037417
1.253130,-1.219560,-1.112849
1.263323,-1.242585,-1.231240
1.270640,-1.263402,-1.350631
1.277127,-1.283066,-1.453651
1.282887,-1.300091,-1.526587
1.287247,-1.314317,-1.580068
1.289616,-1.327079,-1.639681
1.289003,-1.339061,-1.698832
1.287043,-1.351191,-1.751327
1.284425,-1.366991,-1.804458
1.280407,-1.382906,-1.826343
1.276132,-1.399078,-1.822125
1.272196,-1.415431,-1.796871
