x,y,theta
0.010408,-0.031864,0.062203
0.010362,-0.031870,0.062038
0.011208,-0.026745,0.631430
0.007247,-0.012828,1.923496
-0.009613,-0.010507,-2.756803
-0.008684,-0.022079,-1.247794
0.007975,-0.036770,-0.618431
0.036275,-0.046041,-0.204296
0.048123,-0.042707,0.134454
0.042132,-0.034776,1.251753
0.034106,-0.044216,2.583845
0.027990,-0.049265,3.094858
0.006605,-0.050448,-3.111453
0.007593,-0.045256,2.429839
0.009871,-0.046943,2.285251
0.023881,-0.062103,2.959543
0.054439,-0.067538,-2.721359
0.057847,-0.074277,-2.161616
0.042921,-0.111706,-1.733848
0.039449,-0.183267,-1.258539
0.074238,-0.268229,-0.880898
0.147906,-0.345559,-0.685102
0.242497,-0.416225,-0.603913
0.341706,-0.483137,-0.618918
0.434854,-0.552852,-0.637158
0.525064,-0.614076,-0.547606
0.606943,-0.661901,-0.515091
0.675170,-0.697745,-0.435051
0.748598,-0.726243,-0.308609
0.823000,-0.744778,-0.191170
0.896469,-0.754192,-0.056583
0.972625,-0.751767,0.120334
1.052381,-0.735262,0.289094
1.132320,-0.704243,0.462443
1.206835,-0.658038,0.643459
1.270988,-0.599508,0.822435
1.321597,-0.527243,1.085301
1.353136,-0.447501,1.337497
1.361311,-0.361787,1.636693
1.341134,-0.272981,1.975707
1.299170,-0.185285,1.889702
1.279387,-0.084644,1.627187
1.272118,0.034324,1.618754
1.260525,0.159470,1.656537
1.247954,0.285485,1.652968
1.235057,0.412070,1.661371
1.220880,0.539366,1.708499
1.190733,0.655604,1.988237
1.135119,0.749668,2.259415
1.053722,0.831082,2.462609
0.956436,0.897456,2.666501
0.850499,0.939870,2.871345
0.739634,0.963001,2.902942
0.627868,1.001199,2.667694
0.526414,1.062450,2.511060
0.431025,1.135580,2.439405
0.341888,1.216812,2.348312
0.260626,1.305302,2.250098
0.188975,1.401468,2.161264
0.125930,1.502394,2.079022
0.072065,1.606495,2.003200
0.027111,1.712503,1.905319
-0.005074,1.817909,1.803967
-0.026155,1.923397,1.702500
